Abundance,Reference,Sampling_effort,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
0,Cameron et al. 2011,60,Bombus bifarius,77,116,27,10551,283,-137,420,206,-68,206,-68,814,100,27,39,296,95,296,95
17,Cameron et al. 2011,60,Bombus impatiens,77,116,27,10551,283,-137,420,206,-68,206,-68,814,100,27,39,296,95,296,95
0,Cameron et al. 2011,60,Bombus bifarius,131,124,32,9060,318,-62,380,131,8,243,8,1126,117,66,17,337,237,293,237
51,Cameron et al. 2011,60,Bombus impatiens,131,124,32,9060,318,-62,380,131,8,243,8,1126,117,66,17,337,237,293,237
0,Cameron et al. 2011,60,Bombus bifarius,87,115,28,10347,286,-123,409,213,-55,213,-55,910,112,31,35,315,117,315,117
4,Cameron et al. 2011,60,Bombus impatiens,87,115,28,10347,286,-123,409,213,-55,213,-55,910,112,31,35,315,117,315,117
0,Cameron et al. 2011,60,Bombus bifarius,196,107,38,6172,326,50,276,267,157,271,114,1608,167,79,18,483,320,462,420
2,Cameron et al. 2011,60,Bombus impatiens,196,107,38,6172,326,50,276,267,157,271,114,1608,167,79,18,483,320,462,420
0,Cameron et al. 2011,60,Bombus bifarius,111,119,30,9824,304,-89,393,212,-23,231,-23,986,108,47,23,309,168,300,168
0,Cameron et al. 2011,60,Bombus impatiens,111,119,30,9824,304,-89,393,212,-23,231,-23,986,108,47,23,309,168,300,168
0,Cameron et al. 2011,60,Bombus bifarius,111,119,30,9824,304,-89,393,212,-23,231,-23,986,108,47,23,309,168,300,168
2,Cameron et al. 2011,60,Bombus impatiens,111,119,30,9824,304,-89,393,212,-23,231,-23,986,108,47,23,309,168,300,168
0,Cameron et al. 2011,60,Bombus bifarius,110,119,30,9856,303,-90,393,211,-24,230,-24,984,109,47,24,309,168,300,168
0,Cameron et al. 2011,60,Bombus impatiens,110,119,30,9856,303,-90,393,211,-24,230,-24,984,109,47,24,309,168,300,168
0,Cameron et al. 2011,60,Bombus bifarius,110,119,30,9856,303,-90,393,211,-24,230,-24,984,109,47,24,309,168,300,168
2,Cameron et al. 2011,60,Bombus impatiens,110,119,30,9856,303,-90,393,211,-24,230,-24,984,109,47,24,309,168,300,168
0,Cameron et al. 2011,60,Bombus bifarius,135,121,33,8736,314,-52,366,135,198,243,16,1214,125,75,15,367,248,296,285
17,Cameron et al. 2011,60,Bombus impatiens,135,121,33,8736,314,-52,366,135,198,243,16,1214,125,75,15,367,248,296,285
0,Cameron et al. 2011,60,Bombus bifarius,170,131,40,7144,327,2,325,91,223,259,75,1460,164,77,19,449,272,344,424
4,Cameron et al. 2011,60,Bombus impatiens,170,131,40,7144,327,2,325,91,223,259,75,1460,164,77,19,449,272,344,424
0,Cameron et al. 2011,60,Bombus bifarius,104,111,29,9403,291,-82,373,200,-22,220,-22,958,101,55,20,300,183,285,183
20,Cameron et al. 2011,60,Bombus impatiens,104,111,29,9403,291,-82,373,200,-22,220,-22,958,101,55,20,300,183,285,183
0,Cameron et al. 2011,60,Bombus bifarius,133,133,38,7775,305,-41,346,212,47,231,30,1173,120,84,11,325,255,321,259
